,loss,acc,testloss,testacc
0,1.4357424800594647,0.5029761791229248,0.28461381793022156,0.935
1,0.13482185986839115,0.9623016119003296,0.04845477268099785,0.987
2,0.05083273901855425,0.9836309552192688,0.04579494893550873,0.9875
3,0.03021259907086099,0.9910714030265808,0.03167583420872688,0.99
4,0.029985687039452532,0.9903273582458496,0.024745101109147072,0.994
5,0.029281691630511354,0.9898313283920288,0.03641938045620918,0.989
6,0.02326801521167721,0.992559552192688,0.030998164787888527,0.991
7,0.016556908436570435,0.9942956566810608,0.020259147509932518,0.9965
8,0.01101492400171299,0.9955357313156128,0.030708657577633858,0.9935
9,0.010667750269411564,0.9952877163887024,0.01565537229180336,0.9975
